"","id","run","prime","target","rt_raw","rt_log"
"105",6,3,"Black","gun",382.2,5.93788825790743
"106",6,3,"Black","tool",384.75,5.9453677362757
"107",6,3,"White","gun",356.777777777778,5.86835097628575
"108",6,3,"White","tool",402.3,5.98678803355364
"109",6,4,"Black","gun",373.6,5.91614130885793
"110",6,4,"Black","tool",400.7,5.98664425377082
"111",6,4,"White","gun",375.55,5.9201765742016
"112",6,4,"White","tool",406.7,5.9954980804865
"113",6,5,"Black","gun",370.105263157895,5.9092532364805
"114",6,5,"Black","tool",403.4,5.99105583006137
"115",6,5,"White","gun",382.263157894737,5.9389062808746
"116",6,5,"White","tool",395,5.97374586226946
"117",6,6,"Black","gun",371.3,5.90762532914426
"118",6,6,"Black","tool",392.761904761905,5.94827755453155
"119",6,6,"White","gun",367.21052631579,5.89989868962507
"120",6,6,"White","tool",375.444444444444,5.92343095746157
"121",7,1,"Black","gun",508.315789473684,6.21795085171394
"122",7,1,"Black","tool",605.777777777778,6.39806928793623
"123",7,1,"White","gun",524,6.25047803770677
"124",7,1,"White","tool",569.85,6.3404970774804
"125",7,2,"Black","gun",510.611111111111,6.21956432943526
"126",7,2,"Black","tool",601.235294117647,6.38495517013267
"127",7,2,"White","gun",527.736842105263,6.23118202765843
"128",7,2,"White","tool",571.315789473684,6.32409465139327
"129",7,3,"Black","gun",541.55,6.28525950892473
"130",7,3,"Black","tool",589.666666666667,6.37122503860573
"131",7,3,"White","gun",534.941176470588,6.2735183309137
"132",7,3,"White","tool",570.526315789474,6.330609979579
"133",7,4,"Black","gun",555.368421052632,6.31310284319178
"134",7,4,"Black","tool",593.368421052632,6.37867868094654
"135",7,4,"White","gun",567.894736842105,6.32735886883157
"136",7,4,"White","tool",591.85,6.36987995641676
"137",7,5,"Black","gun",509.117647058824,6.22154796684549
"138",7,5,"Black","tool",574.78947368421,6.33301893408437
"139",7,5,"White","gun",491.263157894737,6.1792721475793
"140",7,5,"White","tool",530.052631578947,6.26438558715972
"141",7,6,"Black","gun",463.157894736842,6.11969595956647
